id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
550438442409005056	550418635294900224	2015-01-01 00:48:45 CET	2015-01-01	00:48:45	+0200	203769960	basquiatball	Contrarian Barbarian		@SmoothsHoops @DewNO CHILDREN OF MEN except instead of 1 immigrant baby for hope they discover they can clone the ever aging population	en	[{'screen_name': 'dewno', 'name': 'the joke calculator', 'id': '60032915'}]	[]	[]	1	0	1	[]	[]	https://twitter.com/basquiatball/status/550438442409005056	False		0								[]				
550438387715694592	550438387715694592	2015-01-01 00:48:32 CET	2015-01-01	00:48:32	+0200	1039459044	ceolaclacb	Ceola Clacher		"""Jeb Bush Declines Invitation From Immigration Hard-Liner"" by THE ASSOCIATED PRESS via NYT  http://t.co/v0gB6GNvhy"	en	[]	['http://www.nytimes.com/aponline/2014/12/31/us/ap-us-gop-2016-bush-immigration.html']	[]	0	0	0	[]	[]	https://twitter.com/ceolaclacb/status/550438387715694592	False		0								[]				
550438338793328641	550437553326006272	2015-01-01 00:48:21 CET	2015-01-01	00:48:21	+0200	570348584	1ngaming	1NGaming		@EvoShieId @MigrantTrack Migrant It's Still A Good Video Bro ;D	en	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/1NGaming/status/550438338793328641	False		0								[]				
550438219234299904	550438219234299904	2015-01-01 00:47:52 CET	2015-01-01	00:47:52	+0200	274010439	edsmusicfeed	Ed Koenning's Music		Led Zeppelin – Immigrant Song:  http://t.co/aIQvN4CdJK  http://t.co/oVTh41y5AN #nowplaying	en	[]	['http://www.last.fm/music/Led+Zeppelin', 'http://goo.gl/fb/XKD1ST']	[]	0	0	0	['nowplaying']	[]	https://twitter.com/edsmusicfeed/status/550438219234299904	False		0								[]				
550438087126712321	550438087126712321	2015-01-01 00:47:21 CET	2015-01-01	00:47:21	+0200	25029361	tzidaroff	TJ Zidaroff		Immigration isn't broken. It's the Presidency that is broken.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TZidaroff/status/550438087126712321	False		0								[]				
550438038111678465	550438038111678465	2015-01-01 00:47:09 CET	2015-01-01	00:47:09	+0200	634639425	best_hit_japan	ヒット商品		■洋書のヒット商品■ ８位： Immigrant Women in the Land of Dollars: Life and Culture on the Lower East Side 1890-1925 (New…  http://t.co/INCcKDnzaJ 　#洋書	ja	[]	['http://amzn.to/1zS41u4']	[]	0	0	0	['洋書']	[]	https://twitter.com/best_hit_japan/status/550438038111678465	False		0								[]				
550438037650288640	550438037650288640	2015-01-01 00:47:09 CET	2015-01-01	00:47:09	+0200	634649298	retweet_hititem	ヒット商品		■洋書のヒット商品■ ８位： Immigrant Women in the Land of Dollars: Life and Culture on the Lower East Side 1890-1925 (New…  http://t.co/8XnC21pZKl 　#洋書	ja	[]	['http://amzn.to/1zS41u4']	[]	0	0	0	['洋書']	[]	https://twitter.com/retweet_hititem/status/550438037650288640	False		0								[]				
550438010144030721	550438010144030721	2015-01-01 00:47:02 CET	2015-01-01	00:47:02	+0200	515942613	gasmallbiz	Chloe Perkins		[ATL Biz Chronicle] Georgia’s ‘carpet capital of the world’ is case study in immigration debate  http://t.co/RHSNGNQh6B	en	[]	['http://dlvr.it/7zTWr5']	[]	0	0	0	[]	[]	https://twitter.com/GASmallBiz/status/550438010144030721	False		0								[]				
550438009481338880	550438009481338880	2015-01-01 00:47:02 CET	2015-01-01	00:47:02	+0200	595694544	atlsmallbz	Janice Van Meter		[ATL Biz Chronicle] Georgia’s ‘carpet capital of the world’ is case study in immigration debate  http://t.co/y4IYxe9ixi	en	[]	['http://dlvr.it/7zTVyc']	[]	0	0	0	[]	[]	https://twitter.com/ATLSmallBz/status/550438009481338880	False		0								[]				
550438001843527681	550438001843527681	2015-01-01 00:47:00 CET	2015-01-01	00:47:00	+0200	583111960	coming2_america	Coming to America		The Immigration Legal Resource Center  http://t.co/OSRofaH4wD #USImmigration #ImmigrationProcess	en	[]	['http://bit.ly/1rhPYdK']	[]	0	0	0	['usimmigration', 'immigrationprocess']	[]	https://twitter.com/Coming2_America/status/550438001843527681	False		0								[]				
